SimuName,FlagTarget,SizeX,SizeY,Run,FitnessBestInd,BestIndGen,Mean,Std,MaxGen,NNStructure,async_update_states,random_init_states,with_noise,Visible,Time
flag_automata_2024-08-10_21-07-23_centered_half_circle_9x9,centered_half_circle,9,9,0,0.2078915245760114,111,None,None,600,4-2-7-2,False,False,False,None,1747
flag_automata_2024-08-10_21-07-23_centered_half_circle_9x9,centered_half_circle,9,9,1,0.1598745604654195,547,None,None,600,4-2-7-2,False,False,False,None,1752
flag_automata_2024-08-10_21-07-23_centered_half_circle_9x9,centered_half_circle,9,9,2,0.2051878720124878,162,None,None,600,4-2-7-2,False,False,False,None,1746
flag_automata_2024-08-10_21-55-48_centered_half_circle_9x9,centered_half_circle,9,9,0,0.2116704750731938,1120,None,None,1200,4-2-7-2,False,False,False,None,3462
flag_automata_2024-08-10_21-55-48_centered_half_circle_9x9,centered_half_circle,9,9,1,0.1011039526299017,1104,None,None,1200,4-2-7-2,False,False,False,None,3454
flag_automata_2024-08-10_21-55-48_centered_half_circle_9x9,centered_half_circle,9,9,2,0.1970633080065054,991,None,None,1200,4-2-7-2,False,False,False,None,3457
flag_automata_2024-08-11_01-30-22_centered_half_circle_9x9,centered_half_circle,9,9,0,0.1009122725613819,2921,None,None,3000,4-2-7-2,False,False,False,None,8993
flag_automata_2024-08-11_01-30-22_centered_half_circle_9x9,centered_half_circle,9,9,1,0.1713176929303392,2867,None,None,3000,4-2-7-2,False,False,False,None,8997
flag_automata_2024-08-11_01-30-22_centered_half_circle_9x9,centered_half_circle,9,9,2,0.158145187647902,2999,None,None,3000,4-2-7-2,False,False,False,None,9001
flag_automata_2024-08-11_19-22-22_centered_half_circle_9x9,centered_half_circle,9,9,0,0.2256099483985662,137,None,None,300,4-4-7-2,False,True,False,None,1810
flag_automata_2024-08-11_19-22-22_centered_half_circle_9x9,centered_half_circle,9,9,1,0.2076169279644296,295,None,None,300,4-4-7-2,False,True,False,None,1810
flag_automata_2024-08-11_19-22-22_centered_half_circle_9x9,centered_half_circle,9,9,2,0.2137409484896726,61,None,None,300,4-4-7-2,False,True,False,None,1808
flag_automata_2024-08-11_20-18-37_centered_half_circle_9x9,centered_half_circle,9,9,0,0.2087077697594616,259,None,None,1200,4-4-7-2,False,True,False,None,6842
flag_automata_2024-08-11_20-18-37_centered_half_circle_9x9,centered_half_circle,9,9,1,0.203137666983291,1198,None,None,1200,4-4-7-2,False,True,False,None,6845
flag_automata_2024-08-11_20-18-37_centered_half_circle_9x9,centered_half_circle,9,9,2,0.2032305367554762,1182,None,None,1200,4-4-7-2,False,True,False,None,6847
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,0,0.1417404827950305,37,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,2855
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,1,0.1175412146622592,599,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,2860
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,2,0.0343913802690803,596,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,2856
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,3,0.1201597812300755,596,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,2849
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,4,0.0684479198745568,595,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,2850
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,5,0.1609933523422886,599,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,2861
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,6,0.1201597812300755,596,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,2837
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,7,0.0662570213686977,597,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,2830
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,8,0.0662570213686977,597,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,1362
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,9,0.0651176590750513,599,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,1355
flag_automata_2024-08-11_23-32-22_centered_circle_16x16,centered_circle,16,16,10,0.1183227116428742,597,0.0981262114416988,0.0395904839733893,2000,4-1-2-2,False,False,False,None,1346
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,0,0.1367031024230234,580,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,2848
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,1,0.1151903799132675,599,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,2867
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,2,0.0653218894059287,598,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,2840
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,3,0.0360005060331908,594,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,2839
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,4,0.0333073481073012,597,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,2870
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,5,0.0690622821177929,590,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,2863
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,6,0.0333073481073012,597,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,2868
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,7,0.065387467690333,599,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,2856
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,8,0.0645656672394616,597,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,1346
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,9,0.0749509366056035,599,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,1345
flag_automata_2024-08-12_01-16-14_centered_circle_16x16,centered_circle,16,16,10,0.1195628220104505,586,0.0739417954230594,0.0356704115507487,600,4-2-2-2,False,False,False,None,1339
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,0,0.0914695163872031,197,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,24034
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,1,0.1042646206265787,57,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,24051
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,2,0.1056226885086919,103,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,24006
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,3,0.1053048035328252,330,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,24043
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,4,0.1073968776778538,596,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,24048
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,5,0.1050601966566286,157,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,24050
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,6,0.1033302221188858,97,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,24063
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,7,0.0984743269716492,218,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,24044
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,8,0.1044779161782732,86,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,11510
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,9,0.0984743269716492,218,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,11493
flag_automata_2024-08-12_03-19-30_centered_circle_16x16,centered_circle,16,16,10,0.1059900790939069,167,0.1027150522476496,0.0047076853839028,600,4-3-9-2,False,False,False,None,11495
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,0,0.0915322049728583,125,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,26894
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,1,0.1007902826055364,306,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,26900
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,2,0.101859803276212,164,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,26885
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,3,0.1004484084595606,410,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,26911
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,4,0.0901646676909053,372,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,26917
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,5,0.1015746618972857,79,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,26906
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,6,0.1004484084595606,410,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,26915
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,7,0.0986536014330614,185,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,26896
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,8,0.0943134229688637,93,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,12263
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,9,0.1023201608492646,174,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,12228
flag_automata_2024-08-12_14-32-47_centered_circle_16x16,centered_circle,16,16,10,0.0943134229688637,93,0.09785627687108839,0.004435331376579167,600,4-3-9-2,False,False,False,None,12256
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,0,4.1965175988002467e-10,1022,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,32436
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,1,0.0020326617099527,1022,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,32693
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,2,0.1981702952318525,654,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,32564
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,3,2.3299413376118053e-05,1020,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,32573
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,4,3.033497570085411e-10,1021,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,32525
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,5,0.1881770467238741,46,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,32375
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,6,0.0001438383239984,1019,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,32560
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,7,1.5750659234696928e-06,1022,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,32578
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,8,1.9669531377866817e-08,1021,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,10963
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,9,0.0004554930332306,1021,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,10960
flag_automata_2024-08-19_01-40-20_2_stripes_32x32,2_stripes,32,32,10,0.0002625909099964,1021,0.0353878928004306,0.0780456044098064,1024,4-1-2-2,False,False,False,None,10910
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,0,0.0429689582995128,1023,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,14480
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,1,0.1071654946998862,991,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,14518
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,2,0.0430907904614817,993,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,14488
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,3,0.1509638220749242,31,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,14484
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,4,0.0429687675217122,1019,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,14421
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,5,0.1116194616778782,1006,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,14433
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,6,0.1459485338992845,1020,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,14376
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,7,0.1109257992364818,1022,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,14484
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,8,0.1166870277591605,1015,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,6609
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,9,0.0429687410309497,1023,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,6584
flag_automata_2024-08-19_15-02-49_3_stripes_32x32,3_stripes,32,32,10,0.0448055089390027,1021,0.0872829914182067,0.0442228169672569,1024,4-1-2-2,False,False,False,None,6558
